1,9001,PW,Penny Lane - Lancaster CA,RNP,,1/5/09,1/7/09,1874,650,325,2/2/09,,
2,9002AB,SC,Villa Granada studs - Santa Clara CA,Shoreline,,1/13/09,4/30/09,11756,1500,0,7/20/09,,
3,9002C,SC,Villa Granada studs - Santa Clara CA,Shoreline,,1/13/09,5/30/09,845,50,0,7/20/09,,
4,9003,DM,IHOP - Winchester PA ,Peterson Const.,,1/20/09,4/2/09,14535,3398,1699,4/17/09,,
5,9004,DM,Golden Corral - Mathews NC,GC Development,,1/21/09,5/15/09,30303,10923,5462,5/26/09,,
6,9005,PW,Crossing Point - Palmdale CA,RNP,,1/28/09,2/12/09,4000,383,192,4/1/09,,
7,9006,PW,Mission Community Bank - San Luis Obispo CA,SRG,,2/2/09,3/20/09,48000,15196,7598,5/13/09,,
8,9007,KD,Wendy's - Nashville NC,Sechrist,,2/4/09,3/23/09,7848,638,319,4/17/09,,
9,9009,DM,Golden Corral - N Highlands CA,GC Development,,2/19/09,4/29/09,72649,17295,8648,5/15/09,,
10,9010,DM,Golden Corral - Warr Acres OK,GC Development,,2/19/09,5/15/09,70631,19195,9598,5/26/09,,
11,9012A,PW,Orsini III - Los Angeles CA,BLF,,2/27/09,9/11/09,37270,5646,2823,11/9/09,,
12,9012B,PW,Orsini III - Los Angeles CA,BLF,,2/27/09,9/30/09,46035,3291,1546,11/9/09,,
13,9012C,PW,Orsini III - Los Angeles CA,BLF,,2/27/09,10/30/09,66175,5643,2822,12/4/09,,
14,9012D,PW,Orsini III - Los Angeles CA,BLF,,2/27/09,11/30/09,46770,8622,4311,1/8/10,,
15,9012E,PW,Orsini III - Los Angeles CA,BLF,,2/27/09,12/29/09,12680,1924,962,2/5/10,,
16,9013,PW,Railroad Square Phase 1 - San Luis Obispo CA,SRG,,3/3/09,4/13/09,13394,-517,-259,6/12/09,,
17,9014,PW,LEVR LLC - Palmdale CA,HDEC,,3/17/09,3/23/09,1802,384,192,6/8/09,,
18,9015,PW,Orcutt Union Plaza - Orcutt CA,SRG,,3/19/09,7/31/09,83506,12364,6182,9/28/09,,
19,9015B,PW,Orcutt Union Plaza - Orcutt CA,SRG,,3/19/09,9/16/09,1118,1028,514,10/13/09,,
20,9016,BD,Firestation 810 - Vancouver WA,ProBuild,,3/30/09,5/5/09,6715,1539,973,6/8/09,,
21,9016B,BD,Firestation 810 - Vancouver WA,ProBuild,,3/30/09,5/12/09,416,40,20,6/15/09,,
22,9017,BD,La Pine High School - La Pine OR,Kirby Nagelhout,,3/30/09,6/23/09,7633,697,349,7/31/09,,
23,9018,VB,Smith's Food and Drug - Gillette WY,Ron Peterson,,3/30/09,5/26/09,52058,16456,8228,7/24/09,,
24,9019A,PW,Residence at 804 N. Camden Dr. - Beverly Hills CA,Sun ,,4/2/09,7/16/09,15900,926,463,12/3/09,,
25,9019B,PW,Residence at 804 N. Camden Dr. - Beverly Hills CA,Sun ,,4/2/09,7/31/09,15556,600,300,12/3/09,,
26,9020A,PW,The Summit - Calabasas CA,BLF,,4/3/09,9/15/09,92625,7366,3683,11/11/09,,
27,9020B,PW,The Summit - Calabasas CA,BLF,,4/3/09,9/30/09,1341,159,80,1/8/10,,
28,9020C,PW,The Summit - Calabasas CA,BLF,,4/3/09,11/13/09,86376,14165,7083,2/10/10,,
29,9021,JW,Tim Hortons - Taylor MI,Tim Hortons,,4/15/09,6/5/09,8285,2237,0,7/20/09,,
30,9022,DM,Golden Corral - McAllen TX,GC Development,70000,4/24/09,,CANCELLED,,,,,
31,9023,PW,Industrial Relations,SRG,,5/7/09,6/18/09,37168,7160,3580,8/12/09,,
32,9024,VB,St. Regis Hotel - ,Timber Works,,5/26/09,6/15/09,2331,400,200,7/7/09,,
33,9024B,VB,St. Regis Hotel - Park City UT,Timber Works,,5/26/09,7/31/09,1473,194,97,9/3/09,,
34,9024C,VB,St. Regis Hotel - Park City UT,Timber Works,,5/26/09,7/31/09,764,184,92,9/3/09,,
35,9024D,VB,St. Regis Hotel - Park City UT,Timber Works,,5/26/09,8/21/09,1751,260,130,9/3/09,,
36,9024E,VB,St. Regis Hotel - Park City UT,Timber Works,,5/26/09,8/21/09,1798,318,159,9/3/09,,
37,9025,JW,Tim Hortons - Hamburg NY,Tim Hortons,,6/12/09,6/30/09,7495,1995,0,7/27/09,,
38,9028,PW,Discovery Elemetary - Lancaster CA,RNP,,7/13/09,9/23/09,21326,1972,986,11/9/09,,
39,9029,DM,IHOP - Canton GA,Benchmark,,7/13/09,8/21/09,13402,2960,1480,9/25/09,,
40,9030,DM,McDaniel Res. - Morven GA,McDaniel,,7/14/09,7/31/09,1682,0,0,8/10/09,,
41,9031,DM,Golden Corral - Oklahoma City OK,McDaniel,,7/15/09,8/31/09,66375,17466,8733,9/14/09,,
42,9032-01,KD,Chapman Road Duplexes - Bay Saint Louis MS,Integrated Const. Services,,7/16/09,8/12/09,4500,1500,750,10/5/09,,
43,9032-02,KD,Chapman Road Duplexes - Bay Saint Louis MS,Integrated Const. Services,,7/16/09,10/6/09,300,90,45,10/22/09,,
44,9033,BD,C.H. Harvey - Reno NV,Reno Truss,,7/17/09,8/28/09,27424,2549,1275,10/14/09,,
45,9033B,BD,C.H. Harvey - Reno NV,Reno Truss,,10/7/09,10/9/09,71,8,4,11/4/09,,
46,9034A,PW,Long Beach and Burnett - Long Beach CA,BLF,,7/23/09,12/3/09,30000,8442,4221,2/8/10,,
47,9035,PW,College Sq. Pads E & E1 - Santa Maria CA,SRG,,7/24/09,9/11/09,34381,6032,3016,12/7/09,,
48,9036,VB,Harris Dental - Smithfield UT,Ron Peterson,,7/31/09,8/17/09,9233,1615,808,10/27/09,,
49,9037,KD,Wendy's - Columbus IN,DG Perry,,8/4/09,9/3/09,6963,1302,651,10/5/09,,
50,9038,KD,Wendy's - New Philadelphia OH,Interstate,,8/5/09,8/26/09,7183,1251,626,9/28/09,,
51,9039,BD,Schwab Res. - Ridgefield WA  (prelim shops for approval),Structures NW,,8/6/09,8/1/09,670,0,0,8/6/09,,
52,9041A,VB,Stein-Erikson Lodge Spa Add - Park City UT,Ron Peterson,,8/12/09,8/17/09,2037,415,208,10/27/09,,
53,9043,BD,Helm Building - Clackamas OR,IWP,,8/26/09,10/14/09,5116,944,684,10/27/09,,
54,9044,JW,Tim Hortons - Melvindale MI,Tim Hortons,,9/4/09,10/14/09,5860,1319,0,10/26/09,,
55,9045,JW,Tim Hortons - Silvan Lake MI,Tim Hortons,,9/4/09,10/1/09,5860,1364,0,12/26/09,,
56,9046,DM,Olive Garden - Bowling Green KY,Benchmark,,9/8/09,11/12/09,28464,10793,5397,11/27/09,,
57,9048,PW,Solvang Elem. - Solvang CA,SRG,,9/8/09,10/30/09,62020,7152,3576,2/22/10,,
58,9049,DM,IHOP - Liberty MO,Benchmark,,9/11/09,12/11/09,15738,3857,1929,1/25/10,,
59,9049,DM,IHOP - Liberty MO,Benchmark,,12/10/09,12/14/09,2396,308,154,1/25/10,,
60,9050,BD,Dustin House - Portland OR,Dustin Moon,,9/17/09,10/1/09,4300,915,458,10/1/09,,
61,9052,JW,Tim Hortons - Buffalo NY,Tim Hortons,,9/22/09,10/26/09,5430,3065,0,11/30/09,,
62,9051,DM,Olive Garden - Wenatchee WA,Reno Truss,,9/21/09,10/30/09,18687,4416,2208,11/18/09,,
63,9054,DM,IHOP - Fayetteville NC,Patterson McClain,,9/23/09,11/6/09,12084,2653,1327,1/11/10,,
64,9055A,KD,Turton Barn - Miamisburg OH,Matt Turton,,10/13/09,10/16/09,203,38,19,10/19/09,,
65,9055B,KD,Turton Barn - Miamisburg OH,Matt Turton,,10/13/09,1/4/10,510,61,30,1/11/10,,
66,9057,PW,Ketenjian Industrial - Lancaster CA,Jack Ketenjian,,10/14/09,10/16/09,4003,467,234,10/31/09,,
67,9058,DM,Air Supply - Macon GA,Walker Const.,,10/28/09,11/3/09,5606,2390,1195,11/12/09,,
68,9059,BD,Riverbank - Riverbank CA,Reno Truss,,10/28/09,11/2/09,2435,190,95,12/4/09,,
69,9060,KD,Value Place - Tucson AZ,Integrated Const. Services,60000,10/30/09,,CANCELLED 3/2/10,,,,,
70,9061,PW,Santa Monica Stairs - Santa Monica CA,BLF,,11/4/09,11/18/09,7355,1091,546,2/11/10,,
71,9062,SC,Woodland Comm. College - Woodland CA,Newcastle,2098,11/5/09,,CANCELLED,,,,,
