Job #,Rep,Job Name,Buyer,$ Booked but not shipped,  Date,Invoice      Date,$ Shipped and Invoiced,Margin,Commissions Due,Paid        Date,id,creation,modified
9001,PW,"Penny Lane - Lancaster, CA",RNP,,1/5/09,1/7/09,"1,874",650,325,2/2/09
"9002A,B",SC,"Villa Granada studs - Santa Clara, CA",Shoreline,,1/13/09,4/30/09,"11,756","1,500",0,7/20/09
9002C,SC,"Villa Granada studs - Santa Clara, CA",Shoreline,,1/13/09,5/30/09,845,50,0,7/20/09
9003,DM,"IHOP - Winchester, PA ",Peterson Const.,,1/20/09,4/2/09,"14,535","3,398","1,699",4/17/09
9004,DM,"Golden Corral - Mathews, NC",GC Development,,1/21/09,5/15/09,"30,303","10,923","5,462",5/26/09
9005,PW,"Crossing Point - Palmdale, CA",RNP,,1/28/09,2/12/09,"4,000",383,192,4/1/09
9006,PW,"Mission Community Bank - San Luis Obispo, CA",SRG,,2/2/09,3/20/09,"48,000","15,196","7,598",5/13/09
9007,KD,"Wendy's - Nashville, NC",Sechrist,,2/4/09,3/23/09,"7,848",638,319,4/17/09
9009,DM,"Golden Corral - N Highlands, CA",GC Development,,2/19/09,4/29/09,"72,649","17,295","8,648",5/15/09
9010,DM,"Golden Corral - Warr Acres, OK",GC Development,,2/19/09,5/15/09,"70,631","19,195","9,598",5/26/09

9012A,PW,"Orsini III - Los Angeles, CA",BLF,,2/27/09,9/11/09,"37,270","5,646","2,823",11/9/09
9012B,PW,"Orsini III - Los Angeles, CA",BLF,,2/27/09,9/30/09,"46,035","3,291","1,546",11/9/09
9012C,PW,"Orsini III - Los Angeles, CA",BLF,,2/27/09,10/30/09,"66,175","5,643","2,822",12/4/09
9012D,PW,"Orsini III - Los Angeles, CA",BLF,,2/27/09,11/30/09,"46,770","8,622","4,311",1/8/10
9012E,PW,"Orsini III - Los Angeles, CA",BLF,,2/27/09,12/29/09,"12,680","1,924",962,2/5/10

9013,PW,"Railroad Square Phase 1 - San Luis Obispo, CA",SRG,,3/3/09,4/13/09,"13,394",-517,-259,6/12/09
9014,PW,"LEVR, LLC - Palmdale, CA",HDEC,,3/17/09,3/23/09,"1,802",384,192,6/8/09
9015,PW,"Orcutt Union Plaza - Orcutt, CA",SRG,,3/19/09,7/31/09,"83,506","12,364","6,182",9/28/09
